IP,connection,Status,AS_num,AS_name,host
202.97.77.113,1,Intermediate,,,NA
202.97.94.126,1,Intermediate,4134.0,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",NA
202.97.94.106,1,Intermediate,4134.0,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",NA
202.97.13.26,1,Intermediate,4134.0,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",NA
118.85.205.250,1,Intermediate,4134.0,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",NA
87.245.233.175,1,Intermediate,9002.0,"RETN-AS, EU",ae2-8.RT.KM.SPB.RU.retn.net
87.245.252.78,1,Intermediate,9002.0,"RETN-AS, EU",GW-UNNet.retn.net
89.104.97.50,1,Intermediate,31323.0,"UNNET-AS, RU",ip-50.97.104.89.net.unnet.ru
92.255.2.210,1,Intermediate,31323.0,"UNNET-AS, RU",ip-210.2.255.92.net.unnet.ru
74.119.38.1,0,dest,18608.0,"PALADYNE-SYSTEMS-INC, US",NA
61.187.99.209,1,Intermediate,4134.0,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",NA
202.97.94.122,1,Intermediate,4134.0,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",NA
202.97.94.118,1,Intermediate,4134.0,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",NA
202.97.46.182,1,Intermediate,4134.0,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",NA
202.97.18.62,1,Intermediate,4134.0,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",NA
206.82.104.106,1,Intermediate,,,de-cix.nyc.pch.net
199.7.91.13,2,Intermediate,10886.0,"MAX-GIGAPOP, US",d.root-servers.net
176.36.213.156,1,sender,39608.0,"LANETUA-AS, UA",host-176-36-213-156.la.net.ua
192.168.100.1,1,Intermediate,,,NA
10.0.255.255,1,Intermediate,,,NA
194.33.189.25,1,Intermediate,39608.0,"LANETUA-AS, UA",NA
185.1.62.147,1,Intermediate,,,pch-as42-ix.giganet.ua
194.149.138.252,24,sender,5379.0,"MK-UKIM-1, MK",NA
194.149.138.254,22,Intermediate,5379.0,"MK-UKIM-1, MK",NA
194.149.137.73,22,Intermediate,5379.0,"MK-UKIM-1, MK",NA
194.149.130.3,22,Intermediate,5379.0,"MK-UKIM-1, MK",vl12-dazhbog.ukim.mk
194.149.130.78,22,Intermediate,5379.0,"MK-UKIM-1, MK",NA
83.97.88.101,18,Intermediate,21320.0,"GEANT_IAS_VRF, GB",marnet-ias.mx1.sof.bg.geant.net
62.40.98.171,19,Intermediate,20965.0,"GEANT The GEANT IP Service, GB",NA
149.6.175.249,8,Intermediate,174.0,"COGENT-174, US",be5582.ccr52.vie01.atlas.cogentco.com
130.117.15.162,1,Intermediate,174.0,"COGENT-174, US",level3.vie01.atlas.cogentco.com
4.69.161.126,1,Intermediate,3356.0,"LEVEL3, US",ae-2-3203.ear3.Paris1.Level3.net
213.242.127.62,1,Intermediate,3356.0,"LEVEL3, US",NA
185.39.168.58,1,Intermediate,35625.0,"EURAFIBRE-AS, FR",core01-civ_core03-civ.as35625.net
46.29.125.17,0,dest,35625.0,"EURAFIBRE-AS, FR",NA
62.40.125.237,4,Intermediate,20965.0,"GEANT The GEANT IP Service, GB",marnet.mx1.sof.bg.geant.net
62.40.98.52,2,Intermediate,20965.0,"GEANT The GEANT IP Service, GB",NA
62.40.98.167,2,Intermediate,20965.0,"GEANT The GEANT IP Service, GB",NA
62.40.98.33,1,Intermediate,20965.0,"GEANT The GEANT IP Service, GB",ae2.mx2.lju.si.geant.net
62.40.124.6,1,Intermediate,20965.0,"GEANT The GEANT IP Service, GB",arnes-gw.mx2.lju.si.geant.net
88.200.7.241,1,Intermediate,2107.0,"ARNES-NET Academic and Research Network of Slovenia, SI",vl490.larnes6.bb.arnes.si
88.200.7.236,1,Intermediate,2107.0,"ARNES-NET Academic and Research Network of Slovenia, SI",vl400.lljtpl1.bb.arnes.si
193.2.63.12,1,Intermediate,2107.0,"ARNES-NET Academic and Research Network of Slovenia, SI",NA
62.40.98.190,8,Intermediate,20965.0,"GEANT The GEANT IP Service, GB",ae2.mx1.pra.cz.geant.net
91.210.16.245,1,Intermediate,,,gw4.nix.cz
93.190.128.178,1,Intermediate,6881.0,"NIXCZ NIX.CZ z.s.p.o., CZ",cz-prg-as6881.atlas.ripe.net
154.54.59.182,5,Intermediate,174.0,"COGENT-174, US",be3462.ccr22.muc03.atlas.cogentco.com
154.54.36.253,4,Intermediate,174.0,"COGENT-174, US",be2960.ccr42.fra03.atlas.cogentco.com
130.117.0.141,2,Intermediate,174.0,"COGENT-174, US",be2814.ccr42.ams03.atlas.cogentco.com
130.117.51.41,3,Intermediate,174.0,"COGENT-174, US",be12488.ccr42.lon13.atlas.cogentco.com
130.117.51.138,1,Intermediate,174.0,"COGENT-174, US",be2350.rcr21.b023101-0.lon13.atlas.cogentco.com
149.14.81.186,1,Intermediate,174.0,"COGENT-174, US",china-mobile.demarc.cogentco.com
